dialog_ids,conversation,label
401,"Last time we saw each other was at Winterfell yes? You were making jokes about my heightI seem to recall. Everyone who makes a joke about a dwarf's height thinks he's the only person ever to make a joke about a dwarf's height. The height of nobility ""a man of your stature""",1
402,I'm not a Stark. You are to me. He did. And you trust him?,2
403,What is this? It's what Father trained us for whether he knew it or not.,2
404,Should we send word to your family Ser...,3
405,You don't believe him. You were the first to bring Dothraki to Westeros?,1
406,You're too hard on yourself my lady.,1
407,JAIME: We don't have time for this. The Dothraki are coming. BRONN: All the more reason for you to train. Unless you plan on fighting Dothraki 12-year-olds.,1
408,So what's the point in serving a god if none of us knows what he wants?,1
409,are we being punished for something? - no,2
410,"yeah well, ""the one"" is heading up to the roof what are you gonna do? nothing. it's a game. i gotta just",2
411,"without you, i'm just the dynamic uno, so, fine if you wanna go home, then we'll go home",2
412,"no, no, not again. not this year you're going as my wingman. flightsuit up",2
413,they'll do lab experiments on it. that's so mean shouldn't we just beat it to death with a bat? i'm glad you came down. i would prefer to say this to you in person,3
414,"oh, you gonna play hockey? - hike, hut! with a basketball? - well, it's a combination of the two",2
415,i better not have gotten burned did any of you write that? whose number is that? - i don't know,2
416,"it's true. i can hear them. what's that, little boys? what's that? party number two, not so good. - no, let's go back to party number one no, no turning back. ranjit, party number three",2
417,"unless... - no, no unless",1
418,"so, one more week and it'll be a month oh, come on! the 18th can't get here fast enough",2
419,"well, that's just crazy okay so it's fine for me to make sacrifices for you, but for you, it's crazy but you have a job here and a life. i'd have nothing there",2
420,miss me?,2
421,"oh, yes, you do. - attractive, college-educated",1
422,"so, i wonder what kind of charges she's making out there in san francisco no. no, no good can come from looking at this",3
423,"that's funny, i didn't even ""look"" in the mirror today",2
424,"he asked her to a party. oh, my god, are you okay? ted got to vent and i don't have to hear it",3
425,"you think? yeah, that why you're not back with lily, right? well, what if the heart doesn't mean anything?",2
426,what the hell's a slap bet? whoever is right gets to slap the other person in the face,3
427,"are you lying on the couch right now moping about lily? you are, aren't you? oh",3
428,"so i've never been on the freeway this long before i mean, usually by now i find out the guy has some weird personality thing that makes me want to take the next exit",2
429,"i was always working even when i wasn't at work oh, do whatever you want to me just don't wake me up",3
430,i never want to see your face in this bar again!,3
431,"ted, your place is too cluttered it's like you're living in a bennigan's",3
432,"this isn't right god never meant for us to travel at such breakneck speeds ignore the old lady on the rascal; this isn't a race dude,  a dog",3
433,"now, her mother didn't use this one, but she used one just like it and, uh, i guess before that, you just had to do it by hand would you pass the wine, please? - no",2
434,great. now my mom's making me invite the lessners this puts our numbers in the triple digits,2
435,they didn't have our credit card information they didn't know us from adam i stand by it,1
436,"okay. good now, here's the thing it sucks that you came back from argentina with someone as awesome as gael",2
437,"oh, come on! we agreed did marshall take his pants off? this is wimbledon, ted",2
438,why? a bunch of cobras got loose in central park,3
439,"oh, crazy how cute that is",2
440,so what did you want to tell me?,2
441,who are these people?,2
442,"so what do we do? like, arrange a secret meeting in a darkened parking structure? no can we?",2
443,"i'm the youngest of ten in my family, so our thanksgiving is a mess",2
444,"hi. is this trish? this is marshall's wife listen, we have a problem here and it's you",2
445,"are they ghosts? can only we see them? ""hey, neighbor."" ""hey, neighbor."" ""hey, neighbor."" hmm, i remember that how could you guys let me date wendy the waitress?",3
446,it's not a big deal it's not like a disaster. it's just it's something that we're going to have to learn to live with robin and i saw a ghost what?,3
447,"i think you accidentally dropped it in the garbage what? no, that's... that's not mine i've never seen that before in my life no, you were reading it in the lobby",2
448,"it was all my fault i know it was, baby i just came on too strong",2
449,"oh, i was just telling ted a story what? is that ice cream cone big enough?",2
450,"i feel bad because the bro code clearly states but if you,",2
451,"what randy and i have is real no, it's not, barney and even if you got randy laid tonight, would it feel anywhere near as meaningful",2
452,will you marry me?,3
453,"but not a day goes by that i don't regret it why? why? do you know where it is? - no and if you tell me it's at the corner bistro, i'm gonna smack you right in the face! no, we don't know where it is",3
454,"ted, this is pathetic. it's saturday night. we should be out at a bar drinking alcohol now i know that that sounds depressing, bordering on tragic, but it's just a fact! okay, guys. come on, you promised. let's just hang out here, try to have fun",3
455,"you had a lot of valid concerns. - yeah, but concerns we have completely moved on from",2
456,"bad news. i couldn't reach her. robin's already on her way okay, robin's on her way. you know what? i'm glad i'll just tell stella she's got to deal with it",2
457,"yeah, you know how when you're a kid, you put everything into hockey terms? and i think ""in the crease"" speaks for itself anyway, after that, my relationship with my dad pretty much went north i moved in with my mom, grew my hair out,",2
458,"okay, i know you're afraid that you're not ready but no one ever thinks they're ready. you just have to take the leap",2
459,but the fool who dares challenge you shall be crushed!,2
460,"i'm always talking about you. i can't play ""i never,"" because then everyone would know all the weird stuff i let you do to me the only weird thing i ever did to you was open up my heart and soul,",3
461,i'm missing my wisdom teeth outpatient procedure. local anesthesia. whatever. it ain't a thing,1
462,"no thanks necessary! why not? - i have a secret no, i don't. nothing happened. something happened",3
463,"i already ran that play, bro. they're 21. we're good excuse us for a sec ted, what the hell is the matter with you?",2
464,"yes, now you're talking. - what? i'm about to be deported. i'll try anything and i don't think i can use any of the footage i already have of you",3
465,"grandma and grandpa are gonna be here in half an hour, and you're still butchering my words",2
466,"but without this project, i'm probably out of a job right. um, it's funny that you mention the project, i've got to find a way to introduce some wood into bilson's dark atrium",3
467,"what the hell happened to you? - oh, i just had a very minor blew-out-my-knee-and-it-hurts-like-hell incident",2
468,okay. here's what happened buckminster fuller almost did a spit take,3
469,"i mean, i grappled with it. i was up nights. and not for the good reason i mean, stella and i hadn't seen each other in five years,",2
470,"they still haven't had the talk, huh? oh, not cool! uh, dude, i'm starving. let's",3
471,"we should've cleared it out for you much sooner there's a basement storage area? oh, you're not upset. good",3
472,"the test is in a few hours barney, i'm not taking the test god, you're still drunk",2
473,"oh, man what the hell has gotten into you two?",2
474,"have you noticed how beef ribs used to always be disgusting, okay, barney, i'm going to go ahead and ask you this head-on are you happy with robin?",1
475,"anyway, i told you already, i'm taking a break from all that",1
476,"just tell me which one of you's gonna slap me! what? i'm dying over here! ted reaches for a chip, i flinch! robin fixes her hair, i flinch!",3
477,"i want to hit that if you don't want to hit that, i'm sorry, but you might be gay",1
478,"what? that's crazy! what gave you that idea? oh, i don't know",2
479,"he asked me out. that's crazy and they use ""ulee"" because of the vowels ah",3
480,"robin: oh, ted she's got you on the hook what? what? i'm not on the hook oh, you are totally on the hook",2
481,"okay, maybe i get a little bossy,",1
482,"and that would be barney, - he means well",1
483,"yesterday, barney thought he had to say good-bye",1
484,what if i can't have a baby? that could happen,3
485,why do white people like carrot top? i always wanted to be enough for you boys,2
486,it's ever going to be just the two of us,1
487,i'm dying out here,2
488,"i got you your job back, randy you'd be happy? but i don't belong here",2
489,"he wears those red pants i hate boats, ted i do, i hate 'em i can't be on them",3
490,"barney, i know that ted doesn't like that girl,",2
491,"barney. save it, lily i am still mad at you for",2
492,you're the new coin flip bimbo?,2
493,all that stuff was really nice!,1
494,"oh, honey, he's not ashamed of you he's ashamed of himself",2
495,"oh! oh! don't worry, we're not",1
496,"and suspects, probably accurately,",1
497,"what? - you know what every time we're here,",1
498,there's something i have to tell you then don't,1
499,poor guy's going through some stuff,2
500,what is the name of that guy,1
501,promise me this isn't about your penis i promise it isn't about my penis i'm sorry,3
503,"you helped? why? i know it's hard to think of your mom as a woman with needs,",2
504,"there's a little bit more yeah, this is my first time alone with him,",1
505,"oh, actually they're not... - yes, we have what? what are you doing? well, you were late yet again,",2
506,"you cheated on him. repeatedly i thought about keeping it quiet, but then i realized, wouldn't my family want me to be honest with them about news this big?",1
507,to learn how to make that wedding present costume,1
508,is what?,2
509,i thought this place was called puzzles that's an odd name,1
510,the one who can't talk? i like that part and your cousin doesn't like the diagnosis,2
511,"and the bike rides for cripples in wheelchairs we should wait until... - start treating him now, chase: it'll take months for a definitive diagnosis",1
512,"and will also mess with the bone marrow he doesn't have gout. why would he have gout medication? he didn't have two conditions at the exact same time first, he got a cough. and because he's an idiot, he went to a doctor",3
513,"it's not like they're delivering babies you find anything yet? about half the antibacterial gel dispensers are empty or broken that's bad, and yet diagnostically, completely insignificant",2
514,presents with deep vein thrombosis. how did she get it? what's the point here?,2
515,are you sure? i think i'd remember cheating on my wife,2
516,"i can't believe this. - yeah, well, pinch yourself you'll be fine. just feed that cranky kid cameron: the county's worried about west nile,",2
517,"your life sucks more than most it's not as bad as some, which is depressing all by itself, but do me a favor just let me find out what's wrong with you",1
518,"it's still meningitis if it is, with the delay in treatment, she's",1
519,"well, then, all the other tests could be wrong, too this could still be an infection or cancer they don't fit any of the most recent symptoms well, what, just hepatitis does?",2
520,"oh, no. you don't trust me baby, i'm worried about taking this morphine you're in pain. the doses are monitored. it's not a slip",2
521,"sorry, i've gotta go these young doctors",2
522,"it's a financial black hole the department costs us $3,000,000 a year to treat one patient a week he saves one patient per week",3
523,"blood clots can cause a heart attack more likely to cause a stroke, not the psychosis no, you're wrong. if a clot made it to the amygdala area of the brain, it might cause uncontrollable rage",2
524,"that's quite a scar when i was six, i fell off the swing and bit my tongue couldn't talk right for the longest time",2
525,what did he do? grease your cane? he had my patients arrested the nurses were concerned and they called me there was evidence of abuse,2
526,and you're so young it's a big mistake,1
527,yeah. sorry. that was me i had to dope him up to get him in here guy doesn't think he's sick,1
528,broke another one's neck. nearly decapitated one of my guards relax. i got a great bedside manner too dangerous to house him in the infirmary,1
529,"but you can't stay for her, either but she needs me here",3
530,"i win. - at those speeds, astronauts throw up i'm not talking about the nausea",1
531,house: you bastard you invited my parents to dinner cameron's got a big mouth not as big as yours,3
532,"no appointment, no real examination?",1
533,"she has cushing's. cushing's right, the fact that you mangled her lp has nothing to do with it because it's been at least six hours since she had her last drink",2
534,"which means we have no idea what's wrong with her we give you so much, and you give us so little",2
535,"doesn't make any sense i mean, nobody else at the church got sick they become churning cauldrons of death",2
536,"no, i didn't. - cameron: we're sorry we have to do this we don't have to be cruel you know what happens when you're nice? nothing",2
537,just because i believe in prayer doesn't mean i don't believe in germs and toxins,1
538,that helps explains how they can afford all the fancy equipment i'm sure not pulling my weight,1
539,"because if something doesn't make sense, it can't be real",1
540,"no, i mean, all the other doctors, all they did was obsess on the cancer, the treatment, the damage, just trying to fix him are you serious, or are you just trying to change the subject?",1
541,which is diagnostic of nothing don't be so quick to dismiss pain,2
542,"i don't care about color, as long as they can help me breed a superior race yeah, my exes have usually been black. so what? it's not a racial thing. it's cultural. i have more in common with them",2
543,it's obviously not having the desired effect you're the addict. you're gonna be back on the butts in a month you're just taking out your frustration on me 'cause my meds actually work why don't you quit while you're ahead,2
544,he's frozen my assets. he's on a crusade you're a person of interest in a narcotics investigation you're linked to their suspect and his activities i'm not pablo escobar's evil henchman cruising into miami in a cigarette boat,2
545,"he doesn't freeze my accounts, i'm guilty he does freeze my accounts, i'm guilty where you're not supposed... - i was just at the window",2
546,"right! i should have an affair with a dying patient and move into a hotel you're a coward, house you find fault in everybody because you're afraid to look at yourself thanks. i was running short on platitudes. you can leave now",2
547,"in a very non-invasive, more annoying than traumatic get the hell out of here! i'll send in dr. stone",3
548,"see? it's my space. i want it back it's not your space. it's the hospital's space, and whitner's says she can roll 50 miles",2
549,"experience has taught me to have an escape route whatever happens, i need you to understand",1
550,"i don't believe you! - your mother is fine i just spoke to her surgeon. - i don't believe you! hannah, what do you want from us? what do you want us to do? i can't feel my legs",2
551,i'd also like to talk to you about,1
552,what did you want me to tell him? the truth? no. you didn't have to be so convincing this is getting out of control don't pout,2
553,"if you let this woman refuse to terminate, you're helping her commit suicide as her doctor my recommendation is against suicide i think she would recommend exhausting all possibilities",2
554,"you two are agreeing again her father's overwhelmed. hectic job, his wife passed away last year, he could easily be taking it out on the kids or she had a nosebleed and grabbed a t-shirt",2
555,"if we can't see it, we don't know what it is if we don't know what it is, we can't kill it so we got to wait for it to grow back again",2
556,it's exactly what it sounds like chase and cameron would mutiny if they found out,1
557,"house may be your boss, but i'm house's boss you wanna work here, i better be okay with it! honestly, he didn't tell us anything about who she was or what she doesn't want nasa to know her brain's getting her ears confused with her eyes",2
558,who the hell isn't a doctor? house said we can't talk,1
559,"because even though this job is insane, and house is insane, you like it you know what's worse than a sanctimonious speech?",2
560,"pop a pill, insult us and trick the patient kutner: who's got a cane? house isn't here we're not gonna act like him",1
561,i don't trust you because i don't think the surgery's important? you're putting your trust in someone who does think the surgery's important you're willing to take chances to risk his life for something he doesn't need?,2
562,"by you being forgetful and incompetent you screwed up, you passed out know my favorite time to lie? when my life hangs in the balance your life doesn't hang in the balance",1
563,yes. go away it's not really fair. you're not objective you hid this from me?,2
564,he already kidnapped and sedated the guy against his will makes sense he'd also do something to numb his foot so he couldn't leave but it doesn't make sense to include a symptom that he caused,3
565,"i didn't kill her you were drunk and yeah, if her daddy hadn't been drunk, she might never have been born. so you called her up in the middle of the night,",2
566,how am i supposed to know how best to utilize that team if i don't know everything about them?,1
567,which means she's got cancer she's young. it could be leukemia normal wbc makes that less likely belly pain points toward a gi tumor,2
568,test results are back? what's she positive for? nothing. but we've got a donor match,2
569,not where i'm looking how am i supposed to know where you're looking?,2
570,"so, put the arsenic back we still have a problem. arsenic slows leukemia, but it can't cure it",2
571,(man groans) cut! going again sorry. did i mess up the commercial?,2
572,i let house supervise himself. that's like handing a 12-year-old and the next time my nanny gets sick?,2
573,"she hasn't suffered from copd, she doesn't smoke, she hasn't been scuba diving",2
574,you're punishing me,2
575,"no, mr. bond, i expect you to die. bronchospasm. go",2
576,i don't want the treatment you'd be trading the certainty that you'll live for the uncertainty that she'll live,2
577,"how could kutner have any conceivable your patients live, your patients die,",2
578,"hey. i'm just the irrational part of your brain, but elevated means high, right?",2
579,"but the hand got tired of cooperating. we finally knocked him out and all those tests came up negative anyway,",2
580,"i was deluded into thinking i might be crazy but you have been abusing vicodin for years never had any problems, other than narcissism and anti-social behavior,",2
581,"are you going to tape this? - no, it's just for us well, if it's just for us, i vote we don't do it",1
582,"and consistency proves what? already done. this may not be the best time for this, but i quit",2
583,"no. he was holding it. private medical insurance, not from the va plus he's gotta be early 50s he's too young to be a vet. so, i looked further",2
584,then what the hell is it? you think we're setting this off? - i think something is,2
585,i don't want to meet him i've never asked you for a dime he's here to help find whatever's wrong with your heart,2
586,is she hot? i've forgiven him not for murder. not you doesn't matter how evil dibala was,2
587,you're an ass. - put it in your report i'll tell you what. i'll give you 20 bucks if you'll pretend that i'm not when we leave this room,2
588,"either way, he's dead. we can't stop the oozing don't care and wilson started testing at 12:45, which means",2
589,"dr. hadley made a joke yesterday. she said i sound like you you sure you understand what ""joke"" means? so you're not just out for yourself? for example, you would never interrupt a sick woman's treatment just because of some personal obsession?",2
590,you don't answer emergency pages any more? tell them all i'll be by as soon as i can and tell him i assumed it was either about the wolf again,2
591,"and by ""we"" you mean ""you."" we also hate when a patient dies",2
592,"sorry, not caring about thirteen is not patient's brother has severe congenital muscular dystrophy she's entitled to her privacy. just as i'm entitled to a diagnosis",2
593,taub: we also caught her talking to herself. she could be delusional,1
594,"as little as possible. that is one boring child house, she's a toddler. - i know grading on a curve. it's that bad",2
595,"a liver problem alone is not gonna mess with the baby's bp whatever this is, it's gotta be affecting her heart",2
596,who doesn't see the world entirely as shades of gray it is gray. to you,2
597,we just tried this. i'm not a better liar than foreman that's 60-year-old technology that killed patients,2
598,"if it's leptospirosis, it's the fastest-moving case in history i can't confirm any of this yet",2
599,"<i>house: why the hell not?</i> because it's not sarcoidosis <i>if you were here, you would know that.</i>",2
600,"house. we're worried, too i'm not worried. i just want to get the results so she can stop worrying you just said you didn't know which sample was hers",2
601,"you suck you suck on the straw, see where the drink leaks",2
602,"and at first, i was not a fan certainly there's plenty not to like about sailing",1
603,"taub: his life may unravel, may not he's not chasing after material things too bad. he might actually get those",2
604,the icu isn't being attacked by giant radioactive spiders,2
605,where's my money? you made me sick,2
606,all right. this is getting annoying i'll just tell you what i was... - uh-uh-uh-uh!,3
607,"when i started to feel light-headed next thing i knew, i was lying on my back,",1
608,not once i call social services i'm not giving up,2
609,"after what happened to you, don't you want to remake your life? not by hiding myself away",2
610,i failed. motives don't matter. only actions i'll tell the cops you treated me like crap so i stole your tickets and flushed them,2
611,"oh, my god. christ! shit oh, god. oh, my god oh, my god. oh, my god. think, think, think oh, my gosh",3
612,do you work at the fucking pottery barn? jesus,1
613,"it's all right? yeah, it's all right with a vengeance. vato loco gotta make a living you know, with your cousin gone away and all",2
614,"calm down, damn it are you gonna help me clean this up? huh? we got loose ends here",3
615,"hello, mr. white. pick up the phone, man well, how the hell am i supposed to know that?",2
616,"i held up my end i already took care of emilio you're still diddling around trying to get your nut up yeah, well, boo-hoo",3
617,this is degrading i'm sorry,2
618,do i really have to call you that?,1
619,nobody came way the hell out here just to buy,2
621,"you know, for, like, health-wise, just lay off",1
622,"i just think that we need to discuss it a little more, that's all",1
623,"jesus, guess we didn't get the ""beige"" memo",3
624,"god, you have no idea i spend my days just drawing out atoms on the chalkboard and trying to get these kids to learn the periodic table",3
625,"yes, sir if the other guys hadn't run, not cool, man. not cool what, you never tried to buy beer when you were my age?",2
626,"all right, look, buddy, um, and this cancer thing",1
627,"let's get something straight this, the chemistry, is my realm i am in charge of the cooking",3
628,no. no,2
629,tell me about this tuco tell me everything about him morning,1
630,"yeah, well, that's where i ran into some trouble but this methylamine",2
631,"when i have no knowledge of what it is that i'm admitting yeah, well, it's occupied. it's not a bathroom",2
632,"it's doable. definitely doable no, no. stop, stop, stop heisenberg! what the hell? what's wrong with him? what's the matter with you?",3
633,"hey! hey, where's my phone call?",3
634,known associates of a psychotic piece of shit,3
635,it's weird. yes unusual unusual,1
636,there's no record of it with the phone company yeah. all right. okay. i'm not here to argue with you,1
637,i'm so sorry,1
638,"there's the antiemetic the antitussive the this, the that. not to mention the chemo itself",1
639,i couldn't stand to spend another second in that house,2
640,"the night you disappeared, you came in when i was taking a bath",1
641,you're the one who wanted to work with tuco,3
642,they so overcomplicate these things,1
643,"no. wait. wait. no, walt. you can't do that",1
644,"what then? what was the plan then, genius, huh? i don't know. -you know why you don't know? because you don't think. that's why you don't think. you never figured out how to think",3
645,maybe it's a tweaker urban legend,1
646,"don't be an asshole. -gotcha don't think for one second you have squatter's rights, because you don't",2
647,it's an armpit it's not an armpit,2
648,"i just wanna go on record, man you hit me really, really hard, man. i think i'm seeing double maybe i need to go see a hospital. -shut up! jesus serious, i might have a concussion. -don't fall asleep, baby",2
649,"jesus. on the bottom, that's where you put your weak spot on the bottom oh, baby, that h is bringing me down yeah, you took too much. i told you",2
650,"this business does that jog your memory? son of a bitch you said, ""handle it,"" so, you know, i handled it when i said, ""handle it,"" i meant fear and intimidation",3
651,"""fat man and little boy."" sounds like you two",2
652,because it's not our territory? -because we lack initiative initiative. -yes,2
653,"this is raisin bran, not raisin bran crunch",1
654,"it's work, walt. and everybody is gonna be there <i>skyler? are you there? i don't know what to do.</i> <i>i... i need to talk to you. i...</i>",2
655,god. -take it easy,1
656,"complaining about her nurses the entire time ""juanita is hiding my ashtray."" about how the sugar packets are suddenly disappearing",1
658,"tortoise, turtle, what have you. i never knew the difference myself",1
659,i'm sorry. did you need something?,1
660,you buying or you just stopping to envy? yeah. punk bitches,1
661,"i would like to know why you wouldn't meet with me yesterday i sat here yesterday, waiting to meet with someone",1
662,jesse! jesse jesse jesse. jesse,3
663,"skyler, i'm so oh, god. oh, thank god",2
664,you junkie imbecile. what are you calling this number for?,2
665,"it cannot be blind luck or some imaginary relative who saves us no, i earned that money, me",2
666,"what, some kind of blackmail or something? bring him what you owe him <i>i don't call that blackmail.</i> <i>i call that you getting off your ass, and being a decent human being.</i>",1
667,all right. other than gomie here pees sitting down,2
668,"just so you know, i won't be back for a while i'm gonna have my surgery on friday",1
669,"terrible. - yeah. apparently, even",2
670,"your former partner. this guy, he works like a bastard, right?",2
671,so you gonna keep me in suspense or what? what's the good news?,1
672,crap,1
673,"you are not how i remember you from class. i mean, like, not at all dude, this isn't even 7 grand, all right? my guy wants 85",2
674,"what did i just say? - give me the phone. give it like you didn't make some deal behind my back <i>correct. i did not.</i> whatever, man. you owe me that money",3
675,i was just wondering how you feel about that i turned it down. end of story. - good. good i needed some time here because i'm deep into this investigation and couldn't do both,2
676,"i said, down. on your knees down! damn it, get down",3
677,you'll have to,1
678,i don't like him i don't care who he knows we're supposed to trust him with our products,2
679,"oh, man",2
681,"guy came, set all these traps and all and he finally got it i mean, you could not tell her any different she started keeping an old umbrella, you know, by her chair man, she would just bang on the floor and yell at it",2
682,"you know, i'm a bookkeeper, so i actually",1
683,"what are you doing? if you need to talk, use the phone",2
684,"please. please, no",3
685,shut up,1
686,"hank's bills are really starting to pile up here i haven't received a check from you in quite a while skyler, what are you doing?",1
687,"oh, it's not really swollen, it's just",1
688,maybe lying doesn't come as easily to me as it does to you,1
689,i don't know why is he driving you? where is he going? beats me,3
691,"no, no, no!",3
692,and there's nothing i can do about it all that's left is to wait,2
693,"but cancer is cancer, so to hell with your cancer",3
694,"what the hell, man? don't you have enough cancer already? look",1
695,bad idea. this is a bad idea,3
696,there's no place for emotion in this you of all people should understand,2
698,in here hey! hey! hey! what about him?,2
699,"they put a hood over my head and drove me out into the desert on my knees they threatened my family, and not just hank my wife, my children it's just a matter of time now",3
700,"gus kept cameras on us at the lab at the laundry, god only knows where else",2
701,"hey, man, i'm trying to do business over here, bitch",2
702,she was wearing mismatched shoes,1
703,"i don't know what to do here. i like, whatever i choose is wrong skyler, you gotta tell me what's going on i know sometimes you",2
704,"and my ability to control this situation diminishes just for my own protection, and just you know, it seems to make sense that i should have someone to talk to",2
705,okay. are you okay?,3
706,"i just need to explain to him why that had to happen okay, but say, you know, just for the sake of argument, the kid's not in the mood for a nuanced discussion",3
708,"walt! come on out, walt! got him drop it!",2
709,"you mark my words, skyler toe the line or you will wind up just like hank walt",3
711,"Yeah, but Jason's really sensitive.",1
712,Hi.,1
713,"So uh, apparently people are familiar with the Europe story?",1
714,"No, not yet.",1
715,I dont like sitting up here! Im just gonna over,3
716,Oh but look! Thats gonna leave a stain!,3
717,Also so,1
718,"OK, you've got to promise that you'll never, ever tell Ross that I told you. You'd better act surprised.",1
719,"Chandler, we still havent gotten an RSVP from your dad.",1
720,Who in the hell are you?,3
721,"No-no, Rachel, dont get it! He cant see us!",2
722,"Sorry I'm late, but I left late.",1
723,"Excuse me, can I, can I bum one of those?",1
724,"Oh, are you sure you're ok?",3
725,You know what? You are right. I,2
726,This sucks! I didnt know I had to stay up all night before I went to this stupid sleep clinic! Im so tired! Its 6:00.,2
727,What the hell is this?!,3
728,"What, did you actually thought it would make me feel better to give me stuff that I cant use for another two months?!",3
729,This sucks!,3
730,Enhh,2
731,"Oh, I mustve said that after you left.",2
732,They're male nurses. What are you talking about?!,2
733,"Hello, this is Monica...",3
734,That almost hit me in the face.,3
735,Hey! Yeah?,3
736,Just slice that baby right off!,2
741,No-no. We,1
742,Oh. Well then shut me up.,1
743,"Yeah, well, you didn't know Chi Chi.",2
744,"Honey, both yours.",1
745,"No thanks, Mom! Ha-ha, its not my baby, ha-ha-ha! Well, I just checked our messages and Joshua didnt call.",2
746,That and arrogance.,2
747,"Joe? Uh, youve had a lot of sex right? When? Today? Some, not a lot.",2
748,"Okay, well Ross, what is this really about?",2
749,"Okay, look, he's not gonna hurt them, right? Do you always have to bring him here?",3
751,"Yeah, I talked to you on the phone, Im the lady that got stuck with the racecar bed.",2
752,"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a",2
754,I invented the game of Cups as a way to give Joey money.,1
755,"Yeah, yeah, that's her.",1
756,"Monica, betting the apartment, I dont know about this.",2
757,"You dont want to be guys, youd be all hairy and wouldnt live as long.",2
758,"And y'know what, I just realised, in the last year Ive only gone out with two guys, Richard and Julio.",2
759,"That only is not funny, it's physically impossible! Okay?",3
760,"Okay, what is in here? Rocks?",2
761,"Hey, if mommy can have a wife, daddy can have a bra.",2
762,HEY!! Do you I,3
763,"All right buddy, time to roll over.",1
764,Are you under the sheet?,1
765,"I am hurt!  A plague on both your houses! By the way, he dumped me tonight after he read my review.",2
766,"Uhh, well Ive got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one? Great.  You got anything thats not",3
767,"Problem odour in the litter box? Dont change your kitty, change your kitty litter.",1
768,"No! Sorry, I just thought you were somebody else. Hi!",2
769,"Come on, pick up, pick up!",3
771,"I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus.",1
772,Im sorry Im a little late.,1
773,"Good evening, sir.",1
774,"Okay, I have to tell you something that I have never admitted during our entire friendship! But, when we were in high school I made out with James Farrell even when I knew that you liked him! Wow, that feels so good to get off my chest!",3
775,"I really thought you making a good point. I mean y'know, until you got cut off.",1
776,"Okay Ive got one for you, if you had too which one would you rather eat, a seeing eye dog or a talking gorilla?",1
777,But we really do need to find someone up here.,1
779,Oh shoot! I work Monday nights.,2
780,"I dont know. You uh, you got something for me?",2
781,"That's Hey, I've been honing! Oh, uh..",3
782,"Y'know they say a watched pot never beeps. Its just y'know, been a couple of hours, and she hasnt called. Not that I even care, y'know.",3
783,"Oh. Well, hold on camper, are you sure you've thought this thing through? It's just you and Rachel, just the two of you? This is a date. You're going on a date.",1
784,"Ok, so it's just because it was my table, I have to buy a new one? What rule? There's no rule, if anything, you owe me a table! How'd you get to that?",3
785,"Ooh, oh no! I have to go! I have a massage appointment.",2
786,Oh my God! Oh my God! Im so sorry!,3
787,"Okay, look, how is this gonna affect you? Really?",3
788,"My brother's going through that right now, he's such a mess. How did you get through it?",1
789,"Oh, well dont take it to the same place you took the stereo, cause theyve had that thing for over a week.",2
790,"All right that's, that's it!! Get off her!",3
792,"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him. Go!",3
793,"It can’t be me, I’m standing right here.",1
794,Yknow how people just click?,1
795,"Hi, sweetie! Hi, Ross.",2
796,"Seriously dude, 3 years ago.",2
798,"Monica face it, Chandler is against marriage. And-and always will be! Well theres some people who do want to marry me.",3
799,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",2
800,"Well, I just thought itd make me feel good to do something nice for my friend.",1
801,"Honey, whats the matter?",2
802,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",2
803,"Umm, I used your pen to draw on my friend's face. A beard and a moustache.",1
804,"Oh wait, dont you have to pay for your,  Busty Ladies?",1
805,Oh my God!!! What are you doing?!!,2
806,What?  Ow!,2
807,"Goodbye Mike, we'll see you at the wedding, fella!",2
808,"Well, you promised me a fun road trip! Weve been on the road six hours and youve been asleep for five and a half!",3
809,Actually I do have one small complaint.,2
810,"Chandler, here you go, got your traditional Thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, and your family size bag of Funyuns.",1
811,Who are those people?,3
812,"Rachel has something that she wants to tell you and umm, I believe that this is your red sweater.",1
814,Virgo?,1
815,I cant believe this is taking so long. How are you doing?,2
816,"Man, Im starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both!",2
817,"I just saw Danny getting on the subway with a girl and he had his arm around her. Oh, honey, I'm sorry. Well, you should be, this is all your fault! You meddled in our relationship!!",3
818,Sparkly.,1
819,"Yeah, it's a real shame you can't make it to that one-woman    show tonight. Oh, I'd love to, but I gotta get up so early the next day and    so, you know me, work comes first Oh, yeah, yeah, yeah...",2
820,Oh...  Oh my God. He remembered.,2
821,"Wait, just a second.",1
822,"Well that was depressing, I think I just bought a soft pretzel from one of the kids from",2
823,"No you doy'know what, youre not gonna suck me into this.",2
824,"I'm telling you, something's wrong! My brother does not stay out all night. Ross couldn't fit down the trash chute.",2
825,Okay.,1
826,Hey! Hey! Be careful around my Porsche!,3
827,"Well, the old lady died.",2
828,"Y'know you could totally sell this. Itd be perfect for like umm, a kitty litter campaign.",1
829,"Aw, youre right, youre right. Im sorry.",1
